"","15歲以上婚姻狀況─按區域別、年齡別分"
"","102年/ 總計 ","102年/ 未婚 ","102年/ 有偶 ","102年/ 離婚 ","102年/ 喪偶 ","102年/ 男 ","102年/ 未婚 ","102年/ 有偶 ","102年/ 離婚 ","102年/ 喪偶 ","102年/ 女 ","102年/ 未婚 ","102年/ 有偶 ","102年/ 離婚 ","102年/ 喪偶 "
"區域別總計 / 年齡別總計 "," 20,026,916","  6,957,942"," 10,271,403","  1,543,498","  1,254,073","  9,939,573","  3,784,045","  5,180,986","    735,827","    238,715"," 10,087,343","  3,173,897","  5,090,417","    807,671","  1,015,358"
"區域別總計 / 15-19歲 ","  1,556,952","  1,553,160","      3,476","        315","          1","    809,139","    808,386","        709","         44","          -","    747,813","    744,774","      2,767","        271","          1"
"區域別總計 / 20-24歲 ","  1,601,542","  1,546,434","     47,834","      7,192","         82","    833,182","    816,891","     14,187","      2,099","          5","    768,360","    729,543","     33,647","      5,093","         77"
"區域別總計 / 25-29歲 ","  1,650,491","  1,317,178","    297,616","     34,754","        943","    842,171","    725,208","    105,596","     11,305","         62","    808,320","    591,970","    192,020","     23,449","        881"
"區域別總計 / 30-34歲 ","  2,014,190","    982,705","    914,832","    112,116","      4,537","  1,003,345","    577,433","    382,874","     42,606","        432","  1,010,845","    405,272","    531,958","     69,510","      4,105"
"區域別總計 / 35-39歲 ","  1,924,082","    549,739","  1,179,549","    184,748","     10,046","    952,401","    318,779","    549,501","     82,926","      1,195","    971,681","    230,960","    630,048","    101,822","      8,851"
"區域別總計 / 40-44歲 ","  1,815,671","    340,229","  1,224,040","    231,625","     19,777","    899,869","    186,510","    600,308","    110,339","      2,712","    915,802","    153,719","    623,732","    121,286","     17,065"
"區域別總計 / 45-49歲 ","  1,856,314","    244,055","  1,313,534","    260,700","     38,025","    925,294","    131,600","    659,995","    128,214","      5,485","    931,020","    112,455","    653,539","    132,486","     32,540"
"區域別總計 / 50-54歲 ","  1,863,764","    169,755","  1,366,893","    257,978","     69,138","    923,924","     91,420","    696,773","    125,375","     10,356","    939,840","     78,335","    670,120","    132,603","     58,782"
"區域別總計 / 55-59歲 ","  1,675,557","    107,799","  1,253,862","    206,040","    107,856","    822,075","     55,354","    649,375","    101,078","     16,268","    853,482","     52,445","    604,487","    104,962","     91,588"
"區域別總計 / 60-64歲 ","  1,373,947","     65,999","  1,023,971","    133,638","    150,339","    666,914","     29,802","    547,123","     67,777","     22,212","    707,033","     36,197","    476,848","     65,861","    128,127"
"區域別總計 / 65-69歲 ","    792,163","     28,023","    574,713","     53,349","    136,078","    378,513","     12,881","    315,993","     29,146","     20,493","    413,650","     15,142","    258,720","     24,203","    115,585"
"區域別總計 / 70-74歲 ","    696,464","     17,586","    471,825","     29,548","    177,505","    322,248","      8,645","    265,976","     16,156","     31,471","    374,216","      8,941","    205,849","     13,392","    146,034"
"區域別總計 / 75-79歲 ","    523,185","     11,668","    307,111","     14,525","    189,881","    232,756","      5,786","    179,960","      7,723","     39,287","    290,429","      5,882","    127,151","      6,802","    150,594"
"區域別總計 / 80-84歲 ","    380,160","      9,685","    187,038","      9,491","    173,946","    182,091","      5,743","    128,266","      5,910","     42,172","    198,069","      3,942","     58,772","      3,581","    131,774"
"區域別總計 / 85-89歲 ","    213,004","      8,552","     82,466","      5,492","    116,494","    105,360","      5,907","     65,261","      3,789","     30,403","    107,644","      2,645","     17,205","      1,703","     86,091"
"區域別總計 / 90-94歲 ","     71,974","      3,846","     19,228","      1,624","     47,276","     32,648","      2,586","     16,200","      1,078","     12,784","     39,326","      1,260","      3,028","        546","     34,492"
"區域別總計 / 95-99歲 ","     14,618","      1,089","      2,781","        308","     10,440","      6,225","        770","      2,351","        221","      2,883","      8,393","        319","        430","         87","      7,557"
"區域別總計 / 100歲以上 ","      2,838","        440","        634","         55","      1,709","      1,418","        344","        538","         41","        495","      1,420","         96","         96","         14","      1,214"
"新北市 / 年齡別總計 ","  3,410,364","  1,247,924","  1,704,570","    284,198","    173,672","  1,666,115","    668,536","    840,756","    127,663","     29,160","  1,744,249","    579,388","    863,814","    156,535","    144,512"
"新北市 / 15-19歲 ","    256,414","    255,899","        472","         43","          -","    132,696","    132,597","         98","          1","          -","    123,718","    123,302","        374","         42","          -"
"新北市 / 20-24歲 ","    278,139","    270,439","      6,566","      1,123","         11","    145,371","    143,157","      1,902","        311","          1","    132,768","    127,282","      4,664","        812","         10"
"新北市 / 25-29歲 ","    290,967","    240,473","     44,722","      5,654","        118","    147,239","    130,345","     15,103","      1,786","          5","    143,728","    110,128","     29,619","      3,868","        113"
"新北市 / 30-34歲 ","    359,907","    189,415","    150,487","     19,404","        601","    178,288","    109,673","     61,493","      7,069","         53","    181,619","     79,742","     88,994","     12,335","        548"
"新北市 / 35-39歲 ","    343,281","    106,383","    202,517","     32,935","      1,446","    168,594","     60,454","     93,899","     14,036","        205","    174,687","     45,929","    108,618","     18,899","      1,241"
"新北市 / 40-44歲 ","    315,516","     64,441","    206,732","     41,481","      2,862","    154,560","     33,855","    101,269","     19,005","        431","    160,956","     30,586","    105,463","     22,476","      2,431"
"新北市 / 45-49歲 ","    320,950","     45,113","    223,246","     46,786","      5,805","    152,872","     22,477","    108,101","     21,481","        813","    168,078","     22,636","    115,145","     25,305","      4,992"
"新北市 / 50-54歲 ","    330,332","     30,487","    240,992","     47,915","     10,938","    155,890","     15,013","    117,659","     21,600","      1,618","    174,442","     15,474","    123,333","     26,315","      9,320"
"新北市 / 55-59歲 ","    299,991","     19,612","    222,798","     40,176","     17,405","    140,919","      9,112","    111,120","     18,098","      2,589","    159,072","     10,500","    111,678","     22,078","     14,816"
"新北市 / 60-64歲 ","    239,984","     11,947","    176,858","     26,890","     24,289","    113,143","      4,847","     92,233","     12,624","      3,439","    126,841","      7,100","     84,625","     14,266","     20,850"
"新北市 / 65-69歲 ","    127,452","      4,844","     90,903","     10,671","     21,034","     60,462","      2,002","     50,051","      5,511","      2,898","     66,990","      2,842","     40,852","      5,160","     18,136"
"新北市 / 70-74歲 ","     98,371","      2,959","     64,765","      5,606","     25,041","     45,088","      1,378","     37,038","      2,919","      3,753","     53,283","      1,581","     27,727","      2,687","     21,288"
"新北市 / 75-79歲 ","     64,030","      1,823","     36,163","      2,572","     23,472","     27,929","        917","     21,758","      1,296","      3,958","     36,101","        906","     14,405","      1,276","     19,514"
"新北市 / 80-84歲 ","     45,438","      1,582","     22,351","      1,638","     19,867","     22,705","        973","     16,507","      1,021","      4,204","     22,733","        609","      5,844","        617","     15,663"
"新北市 / 85-89歲 ","     26,929","      1,457","     11,128","        935","     13,409","     13,991","        979","      9,222","        642","      3,148","     12,938","        478","      1,906","        293","     10,261"
"新北市 / 90-94歲 ","      9,859","        711","      3,134","        284","      5,730","      4,965","        505","      2,695","        199","      1,566","      4,894","        206","        439","         85","      4,164"
"新北市 / 95-99歲 ","      2,209","        229","        557","         71","      1,352","      1,071","        167","        462","         54","        388","      1,138","         62","         95","         17","        964"
"新北市 / 100歲以上 ","        595","        110","        179","         14","        292","        332","         85","        146","         10","         91","        263","         25","         33","          4","        201"
"臺北市 / 年齡別總計 ","  2,302,915","    784,622","  1,227,712","    161,546","    129,035","  1,090,530","    394,091","    604,979","     69,681","     21,779","  1,212,385","    390,531","    622,733","     91,865","    107,256"
"臺北市 / 15-19歲 ","    153,991","    153,866","        112","         13","          -","     79,938","     79,916","         22","          -","          -","     74,053","     73,950","         90","         13","          -"
"臺北市 / 20-24歲 ","    151,106","    148,222","      2,605","        278","          1","     78,179","     77,429","        657","         93","          -","     72,927","     70,793","      1,948","        185","          1"
"臺北市 / 25-29歲 ","    164,894","    138,035","     25,177","      1,646","         36","     81,112","     72,517","      8,105","        489","          1","     83,782","     65,518","     17,072","      1,157","         35"
"臺北市 / 30-34歲 ","    226,155","    111,054","    108,348","      6,517","        236","    105,983","     60,120","     43,579","      2,260","         24","    120,172","     50,934","     64,769","      4,257","        212"
"臺北市 / 35-39歲 ","    222,689","     64,450","    144,407","     13,308","        524","    103,395","     32,965","     65,031","      5,333","         66","    119,294","     31,485","     79,376","      7,975","        458"
"臺北市 / 40-44歲 ","    210,511","     46,678","    142,188","     20,326","      1,319","     97,003","     21,544","     66,871","      8,399","        189","    113,508","     25,134","     75,317","     11,927","      1,130"
"臺北市 / 45-49歲 ","    210,737","     37,660","    145,507","     24,954","      2,616","     97,756","     16,145","     70,535","     10,673","        403","    112,981","     21,515","     74,972","     14,281","      2,213"
"臺北市 / 50-54歲 ","    212,115","     29,440","    150,296","     27,467","      4,912","     99,013","     12,053","     74,253","     11,881","        826","    113,102","     17,387","     76,043","     15,586","      4,086"
"臺北市 / 55-59歲 ","    205,948","     21,604","    150,029","     25,965","      8,350","     96,264","      8,444","     75,049","     11,448","      1,323","    109,684","     13,160","     74,980","     14,517","      7,027"
"臺北市 / 60-64歲 ","    182,164","     15,348","    133,456","     19,940","     13,420","     84,867","      5,178","     68,898","      8,817","      1,974","     97,297","     10,170","     64,558","     11,123","     11,446"
"臺北市 / 65-69歲 ","    108,656","      7,024","     78,902","      9,048","     13,682","     50,339","      2,414","     41,885","      4,246","      1,794","     58,317","      4,610","     37,017","      4,802","     11,888"
"臺北市 / 70-74歲 ","     89,016","      3,915","     60,695","      5,334","     19,072","     39,349","      1,553","     32,806","      2,486","      2,504","     49,667","      2,362","     27,889","      2,848","     16,568"
"臺北市 / 75-79歲 ","     64,714","      2,480","     38,775","      2,946","     20,513","     27,534","      1,080","     22,056","      1,355","      3,043","     37,180","      1,400","     16,719","      1,591","     17,470"
"臺北市 / 80-84歲 ","     50,666","      2,019","     26,909","      2,054","     19,684","     24,534","      1,056","     18,699","      1,095","      3,684","     26,132","        963","      8,210","        959","     16,000"
"臺北市 / 85-89歲 ","     32,889","      1,655","     14,617","      1,187","     15,430","     16,688","        975","     11,683","        718","      3,312","     16,201","        680","      2,934","        469","     12,118"
"臺北市 / 90-94歲 ","     13,005","        837","      4,641","        449","      7,078","      6,705","        492","      3,957","        297","      1,959","      6,300","        345","        684","        152","      5,119"
"臺北市 / 95-99歲 ","      2,965","        242","        836","         95","      1,792","      1,471","        142","        708","         77","        544","      1,494","        100","        128","         18","      1,248"
"臺北市 / 100歲以上 ","        694","         93","        212","         19","        370","        400","         68","        185","         14","        133","        294","         25","         27","          5","        237"
"桃園市 / 年齡別總計 ","  1,710,365","    594,906","    883,565","    142,906","     88,988","    852,240","    328,682","    442,291","     65,957","     15,310","    858,125","    266,224","    441,274","     76,949","     73,678"
"桃園市 / 15-19歲 ","    151,819","    151,411","        371","         37","          -","     79,227","     79,130","         88","          9","          -","     72,592","     72,281","        283","         28","          -"
"桃園市 / 20-24歲 ","    148,790","    143,039","      4,830","        911","         10","     77,980","     76,248","      1,463","        266","          3","     70,810","     66,791","      3,367","        645","          7"
"桃園市 / 25-29歲 ","    145,434","    112,602","     28,859","      3,890","         83","     74,838","     62,990","     10,589","      1,252","          7","     70,596","     49,612","     18,270","      2,638","         76"
"桃園市 / 30-34歲 ","    180,173","     78,994","     88,252","     12,469","        458","     89,556","     47,993","     36,959","      4,561","         43","     90,617","     31,001","     51,293","      7,908","        415"
"桃園市 / 35-39歲 ","    175,762","     41,817","    113,858","     19,117","        970","     86,766","     25,343","     52,952","      8,373","         98","     88,996","     16,474","     60,906","     10,744","        872"
"桃園市 / 40-44歲 ","    168,376","     25,126","    118,088","     23,292","      1,870","     82,956","     14,438","     57,575","     10,696","        247","     85,420","     10,688","     60,513","     12,596","      1,623"
"桃園市 / 45-49歲 ","    165,968","     16,693","    121,305","     24,680","      3,290","     81,801","      9,263","     60,369","     11,689","        480","     84,167","      7,430","     60,936","     12,991","      2,810"
"桃園市 / 50-54歲 ","    157,200","     10,462","    118,258","     22,635","      5,845","     77,311","      5,684","     60,308","     10,494","        825","     79,889","      4,778","     57,950","     12,141","      5,020"
"桃園市 / 55-59歲 ","    133,460","      6,182","    100,926","     17,386","      8,966","     64,779","      3,009","     52,216","      8,392","      1,162","     68,681","      3,173","     48,710","      8,994","      7,804"
"桃園市 / 60-64歲 ","    101,523","      3,458","     75,551","     10,130","     12,384","     48,123","      1,555","     39,866","      5,173","      1,529","     53,400","      1,903","     35,685","      4,957","     10,855"
"桃園市 / 65-69歲 ","     55,177","      1,324","     39,635","      3,827","     10,391","     25,596","        608","     21,586","      2,140","      1,262","     29,581","        716","     18,049","      1,687","      9,129"
"桃園市 / 70-74歲 ","     45,145","        857","     30,275","      1,996","     12,017","     20,209","        407","     16,904","      1,122","      1,776","     24,936","        450","     13,371","        874","     10,241"
"桃園市 / 75-79歲 ","     31,955","        670","     18,585","        938","     11,762","     14,011","        305","     11,043","        536","      2,127","     17,944","        365","      7,542","        402","      9,635"
"桃園市 / 80-84歲 ","     26,868","        841","     15,071","        860","     10,096","     15,688","        577","     11,881","        649","      2,581","     11,180","        264","      3,190","        211","      7,515"
"桃園市 / 85-89歲 ","     16,597","        892","      7,936","        585","      7,184","     10,233","        720","      6,927","        491","      2,095","      6,364","        172","      1,009","         94","      5,089"
"桃園市 / 90-94歲 ","      4,960","        404","      1,544","        127","      2,885","      2,624","        306","      1,367","         97","        854","      2,336","         98","        177","         30","      2,031"
"桃園市 / 95-99歲 ","        977","         94","        197","         22","        664","        456","         74","        175","         13","        194","        521","         20","         22","          9","        470"
"桃園市 / 100歲以上 ","        181","         40","         24","          4","        113","         86","         32","         23","          4","         27","         95","          8","          1","          -","         86"
"臺中市(99年改制前) / 年齡別總計 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 15-19歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 20-24歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 25-29歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 30-34歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 35-39歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 40-44歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 45-49歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 50-54歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 55-59歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 60-64歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 65-69歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 70-74歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 75-79歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 80-84歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 85-89歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 90-94歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 95-99歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺中市(99年改制前) / 100歲以上 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 年齡別總計 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 15-19歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 20-24歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 25-29歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 30-34歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 35-39歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 40-44歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 45-49歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 50-54歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 55-59歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 60-64歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 65-69歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 70-74歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 75-79歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 80-84歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 85-89歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 90-94歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 95-99歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) / 100歲以上 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 年齡別總計 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 15-19歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 20-24歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 25-29歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 30-34歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 35-39歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 40-44歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 45-49歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 50-54歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 55-59歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 60-64歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 65-69歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 70-74歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 75-79歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 80-84歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 85-89歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 90-94歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 95-99歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) / 100歲以上 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 年齡別總計 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 15-19歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 20-24歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 25-29歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 30-34歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 35-39歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 40-44歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 45-49歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 50-54歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 / 55-59歲 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
