"","15歲以上婚姻狀況─按區域別、年齡別分"
"屏東縣 / 35-39歲 ","     64,698","     19,987","     36,408","      7,780","        523","     33,673","     12,453","     17,210","      3,943","         67","     31,025","      7,534","     19,198","      3,837","        456"
"屏東縣 / 40-44歲 ","     63,093","     12,185","     40,699","      9,221","        988","     32,758","      7,489","     20,208","      4,943","        118","     30,335","      4,696","     20,491","      4,278","        870"
"屏東縣 / 45-49歲 ","     68,640","      9,192","     47,029","     10,433","      1,986","     36,454","      5,958","     24,395","      5,847","        254","     32,186","      3,234","     22,634","      4,586","      1,732"
"屏東縣 / 50-54歲 ","     70,323","      6,368","     50,340","     10,170","      3,445","     36,664","      4,342","     26,220","      5,572","        530","     33,659","      2,026","     24,120","      4,598","      2,915"
"屏東縣 / 55-59歲 ","     63,496","      3,871","     46,450","      7,666","      5,509","     32,049","      2,635","     24,311","      4,275","        828","     31,447","      1,236","     22,139","      3,391","      4,681"
"屏東縣 / 60-64歲 ","     53,612","      2,214","     39,375","      4,915","      7,108","     26,956","      1,414","     21,511","      2,909","      1,122","     26,656","        800","     17,864","      2,006","      5,986"
"屏東縣 / 65-69歲 ","     32,431","        964","     23,445","      1,829","      6,193","     15,878","        638","     13,042","      1,178","      1,020","     16,553","        326","     10,403","        651","      5,173"
"屏東縣 / 70-74歲 ","     30,749","        661","     20,769","      1,070","      8,249","     14,796","        421","     11,897","        679","      1,799","     15,953","        240","      8,872","        391","      6,450"
"屏東縣 / 75-79歲 ","     24,453","        458","     14,207","        491","      9,297","     11,411","        262","      8,616","        301","      2,232","     13,042","        196","      5,591","        190","      7,065"
"屏東縣 / 80-84歲 ","     16,771","        348","      7,586","        282","      8,555","      7,725","        208","      5,052","        179","      2,286","      9,046","        140","      2,534","        103","      6,269"
"屏東縣 / 85-89歲 ","      7,957","        274","      2,605","        153","      4,925","      3,751","        172","      2,016","        111","      1,452","      4,206","        102","        589","         42","      3,473"
"屏東縣 / 90-94歲 ","      2,510","        123","        454","         34","      1,899","      1,039","         84","        376","         20","        559","      1,471","         39","         78","         14","      1,340"
"屏東縣 / 95-99歲 ","        419","         45","         50","          7","        317","        164","         31","         41","          4","         88","        255","         14","          9","          3","        229"
"屏東縣 / 100歲以上 ","         81","         21","         13","          -","         47","         41","         19","         10","          -","         12","         40","          2","          3","          -","         35"
"臺東縣 / 年齡別總計 ","    194,007","     68,400","     88,768","     19,349","     17,490","    100,753","     40,960","     46,454","     10,131","      3,208","     93,254","     27,440","     42,314","      9,218","     14,282"
"臺東縣 / 15-19歲 ","     15,091","     15,029","         58","          4","          -","      7,823","      7,813","         10","          -","          -","      7,268","      7,216","         48","          4","          -"
"臺東縣 / 20-24歲 ","     15,254","     14,396","        760","         97","          1","      8,014","      7,740","        250","         24","          -","      7,240","      6,656","        510","         73","          1"
"臺東縣 / 25-29歲 ","     14,896","     11,434","      2,945","        495","         22","      7,910","      6,562","      1,169","        178","          1","      6,986","      4,872","      1,776","        317","         21"
"臺東縣 / 30-34歲 ","     17,174","      9,015","      6,798","      1,286","         75","      9,094","      5,590","      2,948","        547","          9","      8,080","      3,425","      3,850","        739","         66"
"臺東縣 / 35-39歲 ","     16,695","      5,625","      8,711","      2,182","        177","      8,875","      3,718","      4,102","      1,036","         19","      7,820","      1,907","      4,609","      1,146","        158"
"臺東縣 / 40-44歲 ","     17,687","      4,158","     10,303","      2,897","        329","      9,631","      2,903","      5,194","      1,492","         42","      8,056","      1,255","      5,109","      1,405","        287"
"臺東縣 / 45-49歲 ","     18,264","      3,276","     10,961","      3,417","        610","     10,149","      2,456","      5,820","      1,784","         89","      8,115","        820","      5,141","      1,633","        521"
"臺東縣 / 50-54歲 ","     18,265","      2,273","     11,637","      3,273","      1,082","      9,784","      1,758","      6,094","      1,757","        175","      8,481","        515","      5,543","      1,516","        907"
"臺東縣 / 55-59歲 ","     16,290","      1,392","     10,949","      2,379","      1,570","      8,377","      1,066","      5,797","      1,296","        218","      7,913","        326","      5,152","      1,083","      1,352"
"臺東縣 / 60-64歲 ","     13,565","        708","      9,117","      1,571","      2,169","      6,567","        511","      4,837","        948","        271","      6,998","        197","      4,280","        623","      1,898"
"臺東縣 / 65-69歲 ","      8,416","        315","      5,465","        718","      1,918","      4,006","        232","      3,070","        433","        271","      4,410","         83","      2,395","        285","      1,647"
"臺東縣 / 70-74歲 ","      7,921","        199","      4,791","        442","      2,489","      3,636","        136","      2,798","        264","        438","      4,285","         63","      1,993","        178","      2,051"
"臺東縣 / 75-79歲 ","      6,284","        139","      3,220","        247","      2,678","      2,801","         88","      2,028","        151","        534","      3,483","         51","      1,192","         96","      2,144"
"臺東縣 / 80-84歲 ","      4,485","        129","      1,924","        174","      2,258","      2,127","        110","      1,368","        100","        549","      2,358","         19","        556","         74","      1,709"
"臺東縣 / 85-89歲 ","      2,608","        178","        898","        115","      1,417","      1,392","        154","        760","         83","        395","      1,216","         24","        138","         32","      1,022"
"臺東縣 / 90-94歲 ","        904","         92","        198","         43","        571","        459","         82","        178","         32","        167","        445","         10","         20","         11","        404"
"臺東縣 / 95-99歲 ","        173","         32","         31","          5","        105","         87","         32","         29","          2","         24","         86","          -","          2","          3","         81"
"臺東縣 / 100歲以上 ","         35","         10","          2","          4","         19","         21","          9","          2","          4","          6","         14","          1","          -","          -","         13"
"花蓮縣 / 年齡別總計 ","    288,825","    102,787","    132,801","     30,001","     23,236","    147,426","     59,411","     68,530","     15,321","      4,164","    141,399","     43,376","     64,271","     14,680","     19,072"
"花蓮縣 / 15-19歲 ","     22,932","     22,803","        119","         10","          -","     11,865","     11,848","         15","          2","          -","     11,067","     10,955","        104","          8","          -"
"花蓮縣 / 20-24歲 ","     23,348","     21,932","      1,211","        205","          -","     12,014","     11,565","        388","         61","          -","     11,334","     10,367","        823","        144","          -"
"花蓮縣 / 25-29歲 ","     22,497","     17,491","      4,242","        744","         20","     11,775","      9,852","      1,659","        263","          1","     10,722","      7,639","      2,583","        481","         19"
"花蓮縣 / 30-34歲 ","     26,386","     13,922","     10,486","      1,866","        112","     13,834","      8,521","      4,539","        762","         12","     12,552","      5,401","      5,947","      1,104","        100"
"花蓮縣 / 35-39歲 ","     25,232","      8,460","     13,368","      3,182","        222","     13,066","      5,371","      6,216","      1,449","         30","     12,166","      3,089","      7,152","      1,733","        192"
"花蓮縣 / 40-44歲 ","     25,357","      5,506","     15,064","      4,360","        427","     13,060","      3,498","      7,369","      2,139","         54","     12,297","      2,008","      7,695","      2,221","        373"
"花蓮縣 / 45-49歲 ","     26,265","      4,290","     16,187","      5,016","        772","     13,975","      2,853","      8,395","      2,606","        121","     12,290","      1,437","      7,792","      2,410","        651"
"花蓮縣 / 50-54歲 ","     26,867","      3,100","     17,243","      5,073","      1,451","     13,759","      2,110","      8,806","      2,590","        253","     13,108","        990","      8,437","      2,483","      1,198"
"花蓮縣 / 55-59歲 ","     25,259","      2,073","     16,856","      4,267","      2,063","     12,835","      1,443","      8,832","      2,279","        281","     12,424","        630","      8,024","      1,988","      1,782"
"花蓮縣 / 60-64歲 ","     20,565","      1,257","     13,769","      2,598","      2,941","     10,143","        825","      7,445","      1,479","        394","     10,422","        432","      6,324","      1,119","      2,547"
"花蓮縣 / 65-69歲 ","     12,491","        558","      8,075","      1,164","      2,694","      5,895","        395","      4,433","        699","        368","      6,596","        163","      3,642","        465","      2,326"
"花蓮縣 / 70-74歲 ","     11,245","        392","      6,928","        655","      3,270","      5,183","        286","      3,987","        406","        504","      6,062","        106","      2,941","        249","      2,766"
"花蓮縣 / 75-79歲 ","      8,582","        259","      4,563","        365","      3,395","      3,823","        190","      2,779","        230","        624","      4,759","         69","      1,784","        135","      2,771"
"花蓮縣 / 80-84歲 ","      6,317","        275","      2,797","        277","      2,968","      3,152","        235","      2,028","        191","        698","      3,165","         40","        769","         86","      2,270"
"花蓮縣 / 85-89歲 ","      3,814","        281","      1,443","        162","      1,928","      2,152","        252","      1,228","        129","        543","      1,662","         29","        215","         33","      1,385"
"花蓮縣 / 90-94歲 ","      1,343","        129","        371","         49","        794","        703","        111","        339","         31","        222","        640","         18","         32","         18","        572"
"花蓮縣 / 95-99歲 ","        255","         35","         65","          6","        149","        144","         32","         59","          3","         50","        111","          3","          6","          3","         99"
"花蓮縣 / 100歲以上 ","         70","         24","         14","          2","         30","         48","         24","         13","          2","          9","         22","          -","          1","          -","         21"
"澎湖縣 / 年齡別總計 ","     88,125","     30,362","     44,440","      6,458","      6,865","     45,294","     17,207","     23,113","      3,509","      1,465","     42,831","     13,155","     21,327","      2,949","      5,400"
"澎湖縣 / 15-19歲 ","      6,531","      6,521","         10","          -","          -","      3,410","      3,409","          1","          -","          -","      3,121","      3,112","          9","          -","          -"
"澎湖縣 / 20-24歲 ","      7,815","      7,527","        256","         32","          -","      4,112","      4,044","         59","          9","          -","      3,703","      3,483","        197","         23","          -"
"澎湖縣 / 25-29歲 ","      7,411","      5,704","      1,552","        150","          5","      3,830","      3,251","        530","         49","          -","      3,581","      2,453","      1,022","        101","          5"
"澎湖縣 / 30-34歲 ","      8,469","      3,961","      4,033","        443","         32","      4,239","      2,407","      1,662","        170","          -","      4,230","      1,554","      2,371","        273","         32"
"澎湖縣 / 35-39歲 ","      8,066","      2,318","      4,907","        810","         31","      4,132","      1,437","      2,319","        376","          -","      3,934","        881","      2,588","        434","         31"
"澎湖縣 / 40-44歲 ","      7,417","      1,378","      4,868","      1,061","        110","      3,947","        853","      2,539","        549","          6","      3,470","        525","      2,329","        512","        104"
"澎湖縣 / 45-49歲 ","      7,797","      1,096","      5,339","      1,185","        177","      4,258","        671","      2,874","        691","         22","      3,539","        425","      2,465","        494","        155"
"澎湖縣 / 50-54歲 ","      7,688","        819","      5,457","      1,094","        318","      4,136","        504","      2,971","        610","         51","      3,552","        315","      2,486","        484","        267"
"澎湖縣 / 55-59歲 ","      6,849","        457","      5,136","        819","        437","      3,690","        292","      2,823","        499","         76","      3,159","        165","      2,313","        320","        361"
"澎湖縣 / 60-64歲 ","      5,715","        218","      4,321","        500","        676","      2,845","        114","      2,327","        299","        105","      2,870","        104","      1,994","        201","        571"
"澎湖縣 / 65-69歲 ","      3,519","        109","      2,602","        164","        644","      1,684","         59","      1,407","        117","        101","      1,835","         50","      1,195","         47","        543"
"澎湖縣 / 70-74歲 ","      3,227","         69","      2,237","         89","        832","      1,551","         46","      1,270","         68","        167","      1,676","         23","        967","         21","        665"
"澎湖縣 / 75-79歲 ","      3,112","         66","      1,911","         57","      1,078","      1,461","         47","      1,124","         39","        251","      1,651","         19","        787","         18","        827"
"澎湖縣 / 80-84歲 ","      2,561","         46","      1,244","         30","      1,241","      1,179","         30","        796","         20","        333","      1,382","         16","        448","         10","        908"
"澎湖縣 / 85-89歲 ","      1,331","         46","        452","         19","        814","        587","         29","        319","         12","        227","        744","         17","        133","          7","        587"
"澎湖縣 / 90-94歲 ","        525","         25","        102","          5","        393","        199","         13","         79","          1","        106","        326","         12","         23","          4","        287"
"澎湖縣 / 95-99歲 ","         80","          2","         13","          -","         65","         30","          1","         13","          -","         16","         50","          1","          -","          -","         49"
"澎湖縣 / 100歲以上 ","         12","          -","          -","          -","         12","          4","          -","          -","          -","          4","          8","          -","          -","          -","          8"
"基隆市 / 年齡別總計 ","    329,437","    119,212","    155,588","     32,305","     22,332","    164,960","     65,994","     79,413","     15,759","      3,794","    164,477","     53,218","     76,175","     16,546","     18,538"
"基隆市 / 15-19歲 ","     25,560","     25,503","         50","          7","          -","     13,304","     13,293","         11","          -","          -","     12,256","     12,210","         39","          7","          -"
"基隆市 / 20-24歲 ","     27,075","     26,308","        634","        132","          1","     14,207","     13,983","        195","         29","          -","     12,868","     12,325","        439","        103","          1"
"基隆市 / 25-29歲 ","     25,490","     21,422","      3,414","        641","         13","     13,314","     11,864","      1,247","        200","          3","     12,176","      9,558","      2,167","        441","         10"
"基隆市 / 30-34歲 ","     28,702","     16,062","     10,705","      1,859","         76","     14,814","      9,547","      4,559","        702","          6","     13,888","      6,515","      6,146","      1,157","         70"
"基隆市 / 35-39歲 ","     28,437","      9,430","     15,479","      3,378","        150","     14,297","      5,607","      7,184","      1,491","         15","     14,140","      3,823","      8,295","      1,887","        135"
"基隆市 / 40-44歲 ","     29,716","      6,519","     18,078","      4,786","        333","     14,865","      3,782","      8,731","      2,299","         53","     14,851","      2,737","      9,347","      2,487","        280"
"基隆市 / 45-49歲 ","     32,053","      4,964","     21,027","      5,424","        638","     16,193","      2,884","     10,529","      2,673","        107","     15,860","      2,080","     10,498","      2,751","        531"
"基隆市 / 50-54歲 ","     33,169","      3,794","     22,462","      5,796","      1,117","     16,730","      2,187","     11,441","      2,923","        179","     16,439","      1,607","     11,021","      2,873","        938"
"基隆市 / 55-59歲 ","     29,961","      2,416","     21,061","      4,620","      1,864","     14,761","      1,345","     10,834","      2,305","        277","     15,200","      1,071","     10,227","      2,315","      1,587"
"基隆市 / 60-64歲 ","     24,332","      1,380","     17,132","      3,046","      2,774","     11,760","        677","      9,096","      1,585","        402","     12,572","        703","      8,036","      1,461","      2,372"
"基隆市 / 65-69歲 ","     12,526","        404","      8,645","      1,137","      2,340","      5,927","        195","      4,759","        681","        292","      6,599","        209","      3,886","        456","      2,048"
"基隆市 / 70-74歲 ","     12,066","        283","      7,596","        723","      3,464","      5,467","        153","      4,406","        414","        494","      6,599","        130","      3,190","        309","      2,970"
"基隆市 / 75-79歲 ","      8,811","        215","      4,731","        388","      3,477","      3,773","        117","      2,875","        224","        557","      5,038","         98","      1,856","        164","      2,920"
"基隆市 / 80-84歲 ","      6,194","        213","      2,786","        211","      2,984","      2,916","        137","      2,027","        132","        620","      3,278","         76","        759","         79","      2,364"
"基隆市 / 85-89歲 ","      3,715","        192","      1,339","        121","      2,063","      1,845","        142","      1,117","         77","        509","      1,870","         50","        222","         44","      1,554"
"基隆市 / 90-94歲 ","      1,290","         79","        360","         30","        821","        613","         60","        324","         19","        210","        677","         19","         36","         11","        611"
"基隆市 / 95-99歲 ","        269","         20","         69","          6","        174","        136","         16","         60","          5","         55","        133","          4","          9","          1","        119"
"基隆市 / 100歲以上 ","         71","          8","         20","          -","         43","         38","          5","         18","          -","         15","         33","          3","          2","          -","         28"
"新竹市 / 年齡別總計 ","    350,204","    116,110","    189,844","     25,081","     19,169","    171,200","     62,783","     93,361","     11,649","      3,407","    179,004","     53,327","     96,483","     13,432","     15,762"
"新竹市 / 15-19歲 ","     28,439","     28,371","         61","          7","          -","     14,689","     14,679","         10","          -","          -","     13,750","     13,692","         51","          7","          -"
"新竹市 / 20-24歲 ","     27,350","     26,346","        855","        146","          3","     14,064","     13,782","        240","         42","          -","     13,286","     12,564","        615","        104","          3"
"新竹市 / 25-29歲 ","     27,952","     21,433","      5,929","        579","         11","     13,914","     11,796","      1,929","        188","          1","     14,038","      9,637","      4,000","        391","         10"
"新竹市 / 30-34歲 ","     39,602","     15,740","     21,757","      2,035","         70","     18,800","      9,474","      8,533","        785","          8","     20,802","      6,266","     13,224","      1,250","         62"
"新竹市 / 35-39歲 ","     39,780","      8,501","     27,873","      3,258","        148","     19,273","      5,009","     12,762","      1,479","         23","     20,507","      3,492","     15,111","      1,779","        125"
"新竹市 / 40-44歲 ","     35,567","      5,220","     25,972","      4,047","        328","     17,391","      2,812","     12,640","      1,890","         49","     18,176","      2,408","     13,332","      2,157","        279"
"新竹市 / 45-49歲 ","     32,691","      3,671","     24,224","      4,246","        550","     16,367","      1,918","     12,353","      2,014","         82","     16,324","      1,753","     11,871","      2,232","        468"
"新竹市 / 50-54歲 ","     30,245","      2,606","     22,594","      4,043","      1,002","     15,071","      1,337","     11,659","      1,935","        140","     15,174","      1,269","     10,935","      2,108","        862"
"新竹市 / 55-59歲 ","     25,832","      1,600","     19,587","      3,117","      1,528","     12,548","        717","     10,146","      1,471","        214","     13,284","        883","      9,441","      1,646","      1,314"
"新竹市 / 60-64歲 ","     20,714","      1,067","     15,476","      1,958","      2,213","      9,849","        396","      8,163","        983","        307","     10,865","        671","      7,313","        975","      1,906"
"新竹市 / 65-69歲 ","     12,180","        437","      8,870","        786","      2,087","      5,603","        179","      4,763","        384","        277","      6,577","        258","      4,107","        402","      1,810"
"新竹市 / 70-74歲 ","     10,642","        280","      7,213","        385","      2,764","      4,601","        106","      3,875","        204","        416","      6,041","        174","      3,338","        181","      2,348"
"新竹市 / 75-79歲 ","      7,755","        185","      4,507","        199","      2,864","      3,291","         79","      2,587","         99","        526","      4,464","        106","      1,920","        100","      2,338"
"新竹市 / 80-84歲 ","      5,944","        210","      2,933","        151","      2,650","      2,855","        140","      2,031","         93","        591","      3,089","         70","        902","         58","      2,059"
"新竹市 / 85-89歲 ","      3,805","        254","      1,519","         87","      1,945","      2,005","        203","      1,255","         61","        486","      1,800","         51","        264","         26","      1,459"
"新竹市 / 90-94歲 ","      1,371","        127","        397","         29","        818","        700","        102","        347","         17","        234","        671","         25","         50","         12","        584"
"新竹市 / 95-99歲 ","        261","         39","         58","          6","        158","        131","         34","         49","          3","         45","        130","          5","          9","          3","        113"
"新竹市 / 100歲以上 ","         74","         23","         19","          2","         30","         48","         20","         19","          1","          8","         26","          3","          -","          1","         22"
"嘉義市 / 年齡別總計 ","    228,399","     81,811","    113,387","     18,272","     14,929","    110,397","     43,691","     55,812","      8,038","      2,856","    118,002","     38,120","     57,575","     10,234","     12,073"
"嘉義市 / 15-19歲 ","     20,059","     20,019","         38","          2","          -","     10,319","     10,313","          6","          -","          -","      9,740","      9,706","         32","          2","          -"
"嘉義市 / 20-24歲 ","     18,392","     17,870","        452","         70","          -","      9,585","      9,442","        125","         18","          -","      8,807","      8,428","        327","         52","          -"
"嘉義市 / 25-29歲 ","     18,295","     14,913","      2,929","        440","         13","      9,292","      8,119","      1,031","        140","          2","      9,003","      6,794","      1,898","        300","         11"
"嘉義市 / 30-34歲 ","     21,317","     10,742","      9,162","      1,364","         49","     10,443","      6,189","      3,794","        456","          4","     10,874","      4,553","      5,368","        908","         45"
"嘉義市 / 35-39歲 ","     21,396","      6,231","     12,757","      2,296","        112","      9,921","      3,508","      5,482","        920","         11","     11,475","      2,723","      7,275","      1,376","        101"
"嘉義市 / 40-44歲 ","     20,971","      3,813","     14,176","      2,772","        210","      9,736","      2,002","      6,534","      1,172","         28","     11,235","      1,811","      7,642","      1,600","        182"
"嘉義市 / 45-49歲 ","     21,589","      2,901","     14,984","      3,270","        434","     10,413","      1,514","      7,377","      1,455","         67","     11,176","      1,387","      7,607","      1,815","        367"
"嘉義市 / 50-54歲 ","     20,641","      2,111","     14,717","      3,091","        722","     10,026","      1,156","      7,344","      1,424","        102","     10,615","        955","      7,373","      1,667","        620"
"嘉義市 / 55-59歲 ","     18,342","      1,342","     13,378","      2,421","      1,201","      8,953","        655","      6,963","      1,137","        198","      9,389","        687","      6,415","      1,284","      1,003"
"嘉義市 / 60-64歲 ","     15,259","        856","     11,307","      1,434","      1,662","      7,221","        371","      5,893","        716","        241","      8,038","        485","      5,414","        718","      1,421"
"嘉義市 / 65-69歲 ","      9,251","        377","      6,726","        549","      1,599","      4,295","        137","      3,619","        304","        235","      4,956","        240","      3,107","        245","      1,364"
"嘉義市 / 70-74歲 ","      8,287","        228","      5,571","        255","      2,233","      3,673","         88","      3,057","        127","        401","      4,614","        140","      2,514","        128","      1,832"
"嘉義市 / 75-79歲 ","      6,505","        171","      3,754","        165","      2,415","      2,788","         68","      2,156","         78","        486","      3,717","        103","      1,598","         87","      1,929"
"嘉義市 / 80-84歲 ","      4,575","        108","      2,167","         77","      2,223","      2,059","         43","      1,433","         45","        538","      2,516","         65","        734","         32","      1,685"
"嘉義市 / 85-89歲 ","      2,522","         76","      1,011","         44","      1,391","      1,212","         47","        772","         31","        362","      1,310","         29","        239","         13","      1,029"
"嘉義市 / 90-94歲 ","        808","         35","        231","         19","        523","        382","         23","        202","         12","        145","        426","         12","         29","          7","        378"
"嘉義市 / 95-99歲 ","        166","         12","         23","          3","        128","         65","         10","         21","          3","         31","        101","          2","          2","          -","         97"
"嘉義市 / 100歲以上 ","         24","          6","          4","          -","         14","         14","          6","          3","          -","          5","         10","          -","          1","          -","          9"
"金門縣 / 年齡別總計 ","    107,105","     35,036","     59,335","      6,591","      6,143","     53,624","     18,436","     30,725","      3,514","        949","     53,481","     16,600","     28,610","      3,077","      5,194"
"金門縣 / 15-19歲 ","      7,689","      7,676","         12","          1","          -","      3,820","      3,819","          1","          -","          -","      3,869","      3,857","         11","          1","          -"
"金門縣 / 20-24歲 ","     10,225","      9,944","        259","         21","          1","      5,085","      5,010","         69","          6","          -","      5,140","      4,934","        190","         15","          1"
"金門縣 / 25-29歲 ","      9,589","      7,410","      2,059","        117","          3","      4,775","      3,991","        744","         40","          -","      4,814","      3,419","      1,315","         77","          3"
"金門縣 / 30-34歲 ","      9,897","      4,157","      5,404","        323","         13","      4,782","      2,402","      2,259","        118","          3","      5,115","      1,755","      3,145","        205","         10"
"金門縣 / 35-39歲 ","      9,174","      2,154","      6,349","        638","         33","      4,425","      1,194","      2,978","        249","          4","      4,749","        960","      3,371","        389","         29"
"金門縣 / 40-44歲 ","      9,398","      1,380","      6,934","        994","         90","      4,875","        740","      3,593","        525","         17","      4,523","        640","      3,341","        469","         73"
"金門縣 / 45-49歲 ","     10,500","      1,000","      8,123","      1,219","        158","      5,426","        548","      4,203","        655","         20","      5,074","        452","      3,920","        564","        138"
"金門縣 / 50-54歲 ","     10,352","        558","      8,220","      1,260","        314","      5,336","        304","      4,304","        694","         34","      5,016","        254","      3,916","        566","        280"
"金門縣 / 55-59歲 ","      9,970","        364","      7,987","      1,051","        568","      5,174","        184","      4,304","        603","         83","      4,796","        180","      3,683","        448","        485"
"金門縣 / 60-64歲 ","      6,757","        176","      5,278","        592","        711","      3,440","         94","      2,888","        371","         87","      3,317","         82","      2,390","        221","        624"
"金門縣 / 65-69歲 ","      3,875","         59","      3,021","        206","        589","      2,018","         38","      1,766","        142","         72","      1,857","         21","      1,255","         64","        517"
"金門縣 / 70-74歲 ","      3,262","         44","      2,397","         96","        725","      1,661","         35","      1,463","         67","         96","      1,601","          9","        934","         29","        629"
"金門縣 / 75-79歲 ","      2,874","         39","      1,854","         42","        939","      1,470","         32","      1,227","         25","        186","      1,404","          7","        627","         17","        753"
"金門縣 / 80-84歲 ","      1,853","         29","        914","         22","        888","        807","         23","        595","         13","        176","      1,046","          6","        319","          9","        712"
"金門縣 / 85-89歲 ","      1,039","         27","        358","          7","        647","        327","         15","        222","          4","         86","        712","         12","        136","          3","        561"
"金門縣 / 90-94歲 ","        458","         15","        125","          2","        316","        150","          6","         84","          2","         58","        308","          9","         41","          -","        258"
"金門縣 / 95-99歲 ","        139","          2","         31","          -","        106","         35","          -","         18","          -","         17","        104","          2","         13","          -","         89"
"金門縣 / 100歲以上 ","         54","          2","         10","          -","         42","         18","          1","          7","          -","         10","         36","          1","          3","          -","         32"

